# Input: in-100002052515858-20121015-055721.txt
# Nodes: 259    Edges: 3626
# Algoritm: Cluset-Newman-Moore
# Modularity: 0.233702
# Communities: 3
# NId	CommunityId
0	0
2	0
3	0
4	0
5	0
6	0
7	0
9	0
10	0
11	0
12	0
13	0
15	0
19	0
20	0
22	0
23	0
26	0
27	0
28	0
29	0
34	0
35	0
38	0
39	0
40	0
41	0
42	0
44	0
45	0
46	0
47	0
48	0
50	0
51	0
52	0
53	0
55	0
59	0
60	0
62	0
64	0
67	0
69	0
72	0
74	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
87	0
88	0
89	0
91	0
93	0
97	0
100	0
103	0
104	0
105	0
106	0
109	0
116	0
121	0
123	0
124	0
125	0
126	0
128	0
129	0
131	0
133	0
135	0
136	0
137	0
139	0
150	0
151	0
163	0
200	0
211	0
219	0
220	0
226	0
230	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
250	0
253	0
254	0
255	0
256	0
257	0
1	1
16	1
17	1
24	1
25	1
31	1
32	1
33	1
36	1
37	1
49	1
56	1
57	1
58	1
61	1
63	1
65	1
66	1
68	1
70	1
71	1
75	1
83	1
84	1
90	1
94	1
96	1
98	1
99	1
101	1
102	1
110	1
112	1
113	1
115	1
117	1
119	1
122	1
130	1
144	1
152	1
215	1
217	1
218	1
248	1
8	2
14	2
18	2
21	2
30	2
43	2
54	2
73	2
85	2
86	2
92	2
95	2
107	2
108	2
111	2
114	2
118	2
120	2
127	2
132	2
134	2
138	2
140	2
141	2
142	2
143	2
145	2
146	2
147	2
148	2
149	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	2
164	2
165	2
166	2
167	2
168	2
169	2
170	2
171	2
172	2
173	2
174	2
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	2
184	2
185	2
186	2
187	2
188	2
189	2
190	2
191	2
192	2
193	2
194	2
195	2
196	2
197	2
198	2
199	2
201	2
202	2
203	2
204	2
205	2
206	2
207	2
208	2
209	2
210	2
212	2
213	2
214	2
216	2
221	2
222	2
223	2
224	2
225	2
227	2
228	2
229	2
231	2
243	2
244	2
245	2
246	2
247	2
249	2
251	2
252	2
258	2
